NEG;Я пару первых страниц пробежала глазами, но сформулировать "о чем" затрудняюсь. А всю книгу читать, чтобы это выяснить, не буду. Не нравится мне закваска, поэтому ну его, готовое блюдо.Социальньные жуткости вроде гимна "Боже, царя храни" в соседней с Украиной империи, китайской полиции на территории Незалежной и турок, атакующих Севастополь, возможно меня заинтересовали бы, будь книга написана удобночитаемым языком. Но чего нет - того нет. Или это плохой перевод?Ах да, главное: скучно и безжизненно!
NEG;Знакомый стиль. Вылезти на пародировании знаменитых вещей кажется безпроигрышным вариантом. Но получается редко. Поэтому произведение серенькое, средненькое. Рекомендовать для чтения не могу. От такого автора ждал большего.
NEG;Не понимаю, откуда столько восторженных отзывов, в свое время абсолютно не понравилось, коробит от крутости главных героев.
NEG;Не читать поклонникам хорошего стиля и умной литературы
NEG;Давненько я не читал такого... нелитературного слова.
NEG;Читал до упора надеясь, что писатель родит таки что-то удобоваримое.… Всю книгу громов натужно накручивал сюжет, балансируя на грани по одну сторону которой – НЕ читать, а по другую – ну может еще пару страниц? а, чтобы в конце, однако пистоном хлопнуть вхолостую. И это автор вычислителя и леммингов?.. НЕ ВЕРЮ! Громов, садись, два.
POS;понравилось, научная фантастика в хорошем исполнении
POS;Не без удовольчтвия читаю Зыкова, - захватывает, - а шершавый язык и ляпы терплю... Из-за глазенок бросить книгу - не верю.
POS;Одна из лучших книг, которые я читал последнее время.Здесь живой герой, который чувствует, а не как робот, исполняет заданную программу.
NEG;Ещё в магазине, когда покупала книгу меня мучали сомнения - брать-не брать... Сюжет с первого взгляда должен бы быть интересным, но вот что-то коробит. И это "что-то" слог автора, манера написания... как в фанфике, чесное слово! "обосновался в своей новенькой, с иголочки башне..." какая нафиг иголочка???? бред какой-то... и таких вот шероховатостей навалом! Далее сам сюжет, малологичен и не продуман совершенно - как будто начат с середны. Герои донельзя поверхносты, абсолютно не раскрываеться внутренний мир... Я когда-то критиковала за "бездушевность" Пехова, так он ГЕНИЙ по сравнению с этим... хм... ширпотребом!До конца так не дочитала - обидно за потраченые время и деньги...
